#type,group,name,chord_duration
1,1,Let it be strum,2000

#type,group,degree,velocity,time,duration
2,1,1,100,0,1000
2,1,3,80,50,1000
2,1,5,80,100,1000
2,1,1,100,1100,500
2,1,3,80,1150,500
2,1,5,80,1200,500
2,1,1,100,1700,250
2,1,3,80,1750,250
2,1,5,80,1800,250
2,1,1,100,2050,250
2,1,3,80,2100,250
2,1,5,80,2150,250

#type,group,name,chord_duration
1,2,Twelve bar blues main,2000

#type,group,degree,velocity,time,duration
2,2,1,100,0,230
2,2,3,80,250,230
2,2,5,80,500,230
2,2,6,80,750,230
2,2,-7,100,1000,230
2,2,6,80,1250,230
2,2,5,80,1500,230
2,2,3,80,1750,230

#type,group,name,chord_duration
1,3,Twelve bar blues alt,2000

#type,group,degree,velocity,time,duration
2,3,1,100,0,230
2,3,3,80,250,230
2,3,5,80,500,230
2,3,6,80,750,230
2,3,7,100,1000,230
2,3,6,80,1250,230
2,3,5,80,1500,230
2,3,3,80,1750,230

#type,group,name,tonic,instrument,bpm
3,4,Let it be progression,48,25,80

#type,group,chord_number,chord
4,4,1,1
4,4,5,1
4,4,6,1
4,4,4,1
4,4,1,1
4,4,5,1
4,4,4,1
4,4,1,1

4,4,1,1
4,4,5,1
4,4,6,1
4,4,4,1
4,4,1,1
4,4,5,1
4,4,4,1
4,4,1,1

4,4,6,1
4,4,5,1
4,4,4,1
4,4,1,1
4,4,1,1
4,4,5,1
4,4,4,1
4,4,1,1

#type,group,name,tonic,instrument,bpm
3,5,Twelve bar blues progression,32,36,80

#type,group,chord_number,chord
4,5,1,2
4,5,1,2
4,5,1,2
4,5,1,2
4,5,4,2
4,5,4,2
4,5,1,2
4,5,1,2
4,5,5,3
4,5,4,2
4,5,1,2
4,5,1,2
